"Y","W","Delta","Z"
20.1293050407674,0.115549902557228,0,0
20.0601385353015,0.619373280269091,1,0
16.752471197701,0.335769377973188,0,0
14.1259771516008,0.0374344641091797,0,1
11.5731670639322,0.623676882671618,0,0
8.815174518258,0.112425357202519,0,1
15.9077607681627,0.402013817828334,1,0
12.1061311585458,0.0586942482820202,0,0
18.6348758445787,0.143416965469941,0,0
16.6113495340114,0.18776728159701,0,0
17.0232073113242,0.274946002548697,0,0
8.75171065416903,0.192390793063799,0,1
18.3755286867485,0.141198514356233,0,0
10.1480294692314,0.000433512292271432,0,1
9.91398598010971,0.244396368936141,1,0
14.5490163253391,0.461000007996923,1,1
18.6158638676173,0.466800649398999,0,0
17.8373656384276,0.429954740402112,1,0
16.6073868767469,0.358604284202661,0,0
13.1490143451337,0.410426365999024,0,0
20.0005805839947,0.253330780703408,0,1
14.1687098437865,0.0447920710478451,0,1
14.3328032987076,0.0182414616926183,0,0
5.65996286227195,0.119068943466504,1,1
17.5313669080853,0.32526086937612,0,0
11.6871904734074,0.0799817697710151,0,1
15.2572272323624,0.110037646022089,1,0
8.30294254525521,0.0229714203110921,0,1
18.2007252307384,0.0753186263460992,0,0
13.5718526767599,0.096819408402591,1,1
13.5625625920804,0.20833561188763,0,0
10.7584075110674,0.435113222287233,0,1
14.6855133661246,0.418138700812313,0,0
16.8964652393339,0.161983051097636,0,1
10.1186223087981,0.0775326034569859,0,1
15.3828035807228,0.149012087509348,0,0
12.8492910174518,0.0335591116661731,0,1
18.4765227687754,0.19833430313196,0,0
12.4089464471886,0.0621858646125866,0,1
13.8992874944488,0.315436541745583,1,1
19.5019604538202,0.536693426200592,0,0
19.8885014582007,0.711227826730432,0,0
16.5751287516261,0.0867572560441232,0,1
13.1299985471533,0.209233485039772,0,0
15.2699355622039,0.252631922668705,0,0
16.2138207607725,0.428775131490183,0,0
10.2817558577868,0.0242667502470101,0,1
14.4749315644971,0.143773895173019,0,1
18.8368210267753,0.384891296933321,0,0
14.213571013079,0.467585414467868,0,0
11.9388410643315,0.159049971065298,0,1
10.6214067175091,0.258381280754879,0,0
9.62782039486269,0.373716436357462,0,1
11.8150647920833,0.0907803653790296,1,1
16.5351958635572,0.541522801022626,0,0
16.254123830685,0.204997215444793,1,1
14.4028810611237,0.504646021180272,0,0
12.3128881114022,0.112341993742684,0,1
14.6825052861898,0.000183568756665566,0,1
9.2127786248675,0.0303877226950144,0,1
13.7116997890212,0.148354662238804,0,1
14.544508395286,0.496206371276791,0,0
13.8444009954254,0.119109629195632,0,0
11.790052776945,0.0477184025901427,0,1
13.0888373572285,0.0124365452087951,0,1
11.8368478457775,0.555787063418049,0,0
10.2720235635828,0.0571172078951448,0,1
14.1731365314086,0.270884653376924,0,0
14.2012005588025,0.0656012522761385,0,1
11.7427854573765,0.147813439789693,0,1
13.3515465856486,0.00084008018959153,0,1
11.3354181416865,0.282369265883153,0,1
16.6988440470152,0.152514881809567,0,0
11.9363701346981,0.309587783306032,1,1
16.4999815253354,0.361090137909686,0,0
12.6763970932596,0.136623162345814,1,1
17.6831381620284,0.300240456074788,0,0
12.7897943002491,0.258006126837775,0,0
9.50984924481521,0.278435696538964,1,1
16.0624921942974,0.265533063449322,0,0
13.1614702557245,0.207628257050312,0,0
12.9065553476631,0.0232722449382339,0,1
11.7393292617752,0.119789945258989,0,1
15.2096531326249,0.122495654847075,0,1
12.6895009661418,0.321894727795237,0,0
19.3000366938783,0.191772678315504,0,0
14.2950629172817,0.00216654721649465,0,1
16.4871987010956,0.082470924126323,0,1
12.5302625148049,0.0250527046042701,0,1
14.1393017511445,0.0740130271216179,0,1
18.8865860420873,0.163499841778519,0,1
16.683840164029,0.225822052967749,0,0
14.3097862874603,0.10559926508295,0,1
12.2609258123448,0.365442454909938,1,0
16.8260121062329,0.712364850871286,0,0
17.8347788814446,0.0965144178991033,0,0
17.9891731816499,0.419705966685601,1,0
15.2227544817788,0.195830063763439,0,1
12.7676522665733,0.376400475530545,0,0
13.9124546009897,0.351041092008556,0,0
16.8728480432396,0.590109628927313,1,0
8.72688098141937,0.180314258935429,0,1
10.815902982738,0.457457535973659,0,0
13.146686486592,0.355695581462397,0,0
8.41582031318038,0.304700407848681,0,1
16.5717968267566,0.0078708399986338,0,1
17.6769199844486,0.494435749517773,0,0
19.650452789592,0.235709308218763,0,0
19.5196592708577,0.75027785474717,0,0
9.54879751008324,0.0316170275103466,0,1
14.8783449005914,0.0390432827387546,0,1
11.9632733414363,0.166450135280995,0,0
13.6757762148986,0.140008950689921,0,1
19.8533870880943,0.747932649268328,0,0
12.2258246365193,0.25728934737099,0,1
11.302872601287,0.0972721290325256,0,1
15.5329393277919,0.284718186313318,1,1
