"Y","X","C","Z","Delta","W"
0.973197861798478,NA,0.15679758455877,0,0,0.15679758455877
3.02862511252849,NA,0.406312572058352,0,0,0.406312572058352
3.02943890479507,NA,0.0515355923969775,1,0,0.0515355923969775
1.95243663517236,NA,0.165059284144766,1,0,0.165059284144766
0.47574545528743,0.355058758797306,0.408645657206606,0,1,0.355058758797306
2.01681628186826,NA,0.0487579707400524,1,0,0.0487579707400524
1.89938637398887,0.12468025606944,0.27914136121123,1,1,0.12468025606944
3.7643565143278,0.0326001148122017,0.549200555963886,1,1,0.0326001148122017
3.74516775356527,NA,0.055958420365071,1,0,0.055958420365071
2.83898647298163,NA,0.420690482464041,0,0,0.420690482464041
1.24187272637566,NA,0.275341444023176,0,0,0.275341444023176
1.28680453477601,NA,0.347738356928069,0,0,0.347738356928069
2.37298625232049,NA,0.426963992254552,1,0,0.426963992254552
1.34763888574821,NA,0.505415757202173,0,0,0.505415757202173
4.28887975258022,NA,0.0321655457827593,1,0,0.0321655457827593
0.0227658666932027,NA,0.468586225882822,0,0,0.468586225882822
2.89108638968342,NA,0.227885922469888,1,0,0.227885922469888
1.6510248404361,NA,0.165897334551441,1,0,0.165897334551441
0.989565295580354,NA,0.494719082185384,0,0,0.494719082185384
0.699871325454003,NA,0.0643956391961066,1,0,0.0643956391961066
1.76794455824774,NA,0.163458986342097,1,0,0.163458986342097
3.31782018024494,0.0542195824474637,0.296859764726505,0,1,0.0542195824474637
3.93918452987499,NA,0.149583618947083,1,0,0.149583618947083
2.28620230338048,NA,0.341883142519086,0,0,0.341883142519086
0.376417832267655,NA,0.382952111218562,0,0,0.382952111218562
0.626900614249556,NA,0.585018399819117,0,0,0.585018399819117
-0.419314717198714,NA,0.271204463516217,0,0,0.271204463516217
2.77794423008643,NA,0.121011740482276,0,0,0.121011740482276
1.12847317662737,NA,0.0147338556095699,1,0,0.0147338556095699
0.696914662232512,NA,0.535445859525426,0,0,0.535445859525426
0.491998585966149,NA,0.232056032112645,0,0,0.232056032112645
3.2660037037995,NA,0.0617914733551315,1,0,0.0617914733551315
1.98422121418478,0.708575532752339,0.738088115592922,0,1,0.708575532752339
2.55064589913645,NA,0.127212825133677,0,0,0.127212825133677
2.30791644789205,0.211638476622321,0.27659808647829,1,1,0.211638476622321
3.16785678440049,NA,0.00593631028420199,1,0,0.00593631028420199
0.447456021744006,NA,0.198055877382423,1,0,0.198055877382423
2.44234427700257,NA,0.236172704830143,0,0,0.236172704830143
1.25981612163406,NA,0.052702375399055,1,0,0.052702375399055
0.60499181354844,NA,0.425593345926083,0,0,0.425593345926083
1.82843930461796,NA,0.374167183922629,1,0,0.374167183922629
2.1709560539371,NA,0.491856252057909,1,0,0.491856252057909
2.17192762865243,NA,0.225596825607647,1,0,0.225596825607647
3.29693714871238,NA,0.136823748319319,1,0,0.136823748319319
2.50644478947944,NA,0.0206055974625285,1,0,0.0206055974625285
3.35841417143289,NA,0.0443498205767496,1,0,0.0443498205767496
1.43750341751692,NA,0.327801325163604,0,0,0.327801325163604
1.0503450251719,NA,0.14518910374277,0,0,0.14518910374277
1.80721108746923,NA,0.0980205489050886,1,0,0.0980205489050886
3.86923308620081,NA,0.0154114390960068,1,0,0.0154114390960068
2.43771264506449,NA,0.264546123556941,0,0,0.264546123556941
3.60019056900528,NA,0.084857987565304,1,0,0.084857987565304
1.46192792385971,NA,0.428030319221253,0,0,0.428030319221253
0.496668941252895,NA,0.248152865891296,0,0,0.248152865891296
0.547115205025614,NA,0.592662779485477,0,0,0.592662779485477
0.710682311866842,NA,0.282439422677436,0,0,0.282439422677436
1.37971249858606,0.401084978849229,0.450452896489329,0,1,0.401084978849229
2.75990935645395,0.0565787554932433,0.122750823373602,1,1,0.0565787554932433
2.2471225411021,NA,0.151451520952705,1,0,0.151451520952705
1.91623924031607,NA,0.54070116028794,0,0,0.54070116028794
1.84323326098972,NA,0.00983631528040248,1,0,0.00983631528040248
0.209339208449295,NA,0.0502801231442378,0,0,0.0502801231442378
1.52826519442369,NA,0.64921445903531,0,0,0.64921445903531
0.534741549860957,NA,0.246635350221035,0,0,0.246635350221035
1.68833844415839,NA,0.018875111742409,1,0,0.018875111742409
-0.172786054030259,0.265649361688201,0.742200872803178,0,1,0.265649361688201
0.567533400970412,NA,0.581230122905321,0,0,0.581230122905321
3.76939010972127,NA,0.0182262383800381,1,0,0.0182262383800381
2.02531435727482,NA,0.306097497744126,0,0,0.306097497744126
2.71810041403747,NA,0.101935116563896,1,0,0.101935116563896
0.893485181084401,NA,0.0691084234786856,0,0,0.0691084234786856
4.57288113956367,NA,0.0709698987584352,1,0,0.0709698987584352
0.887981941706639,NA,0.21891595494983,0,0,0.21891595494983
0.896431952382452,0.608282389358526,0.856352256170521,0,1,0.608282389358526
1.65658293264928,NA,0.116895516802152,0,0,0.116895516802152
2.89664502644609,NA,0.0524765789331626,1,0,0.0524765789331626
1.77565186658368,NA,0.141863298558561,1,0,0.141863298558561
1.23624668845123,NA,0.338736839061078,0,0,0.338736839061078
3.42318346887518,0.346570493073508,0.442427007199148,1,1,0.346570493073508
2.57047240234478,NA,0.109599748258118,1,0,0.109599748258118
0.986711936365815,NA,0.226870290289156,0,0,0.226870290289156
2.10405647583603,NA,0.0152303474710792,1,0,0.0152303474710792
0.580266145859942,NA,0.503272971867707,0,0,0.503272971867707
2.41075902688069,NA,0.787775743195866,0,0,0.787775743195866
1.73965073945093,NA,0.0850498665068734,1,0,0.0850498665068734
1.11813451366408,NA,0.176926694358623,0,0,0.176926694358623
1.83198071796863,NA,0.254882788986676,1,0,0.254882788986676
1.23601983362295,NA,0.6794580531647,0,0,0.6794580531647
1.00044478924076,NA,0.41786500356274,0,0,0.41786500356274
2.35368322611999,NA,0.285937219255807,0,0,0.285937219255807
0.716282076252839,NA,0.0618556447260129,0,0,0.0618556447260129
3.02910073434471,NA,0.243641674720748,0,0,0.243641674720748
3.33849546458516,NA,0.00111653232490809,1,0,0.00111653232490809
2.43922769579566,NA,0.0111872517100566,1,0,0.0111872517100566
1.41287620074859,NA,0.124919048268229,1,0,0.124919048268229
1.10565575098835,NA,0.150592377786641,1,0,0.150592377786641
2.5397645927228,NA,0.200369969583367,0,0,0.200369969583367
-1.1497928553101,NA,0.215009505033487,0,0,0.215009505033487
3.74297890408427,NA,0.138340660343507,1,0,0.138340660343507
1.9342958440371,NA,0.043957700278469,1,0,0.043957700278469
2.16108412633183,NA,0.345581538578918,1,0,0.345581538578918
2.44667164157543,0.59950824362413,0.678866684234149,0,1,0.59950824362413
0.738368996943587,NA,0.386272545579258,0,0,0.386272545579258
1.34965233627365,NA,0.05893262253974,1,0,0.05893262253974
2.07185884527515,0.182693872388123,0.202424971678714,1,1,0.182693872388123
0.206058601771283,NA,0.134096159044046,0,0,0.134096159044046
1.47201762419795,NA,0.578257369783193,0,0,0.578257369783193
0.597794236385417,NA,0.249894048874607,0,0,0.249894048874607
0.914286377743327,NA,0.0341084851540936,1,0,0.0341084851540936
3.14757144748448,NA,0.0559529638628884,1,0,0.0559529638628884
2.60356213879528,0.0960587462150616,0.165554305226743,1,1,0.0960587462150616
2.97655680631203,NA,0.0556541292437417,1,0,0.0556541292437417
1.9950648217659,NA,0.445754721566236,0,0,0.445754721566236
1.80349221053936,0.349449257286229,0.757304133051188,0,1,0.349449257286229
1.45922886225074,NA,0.372805055737414,0,0,0.372805055737414
