"Y","W","Delta","Z"
0.973197861798478,0.15679758455877,0,0
3.02862511252849,0.406312572058352,0,0
3.02943890479507,0.0515355923969775,0,1
1.95243663517236,0.165059284144766,0,1
0.47574545528743,0.355058758797306,1,0
2.01681628186826,0.0487579707400524,0,1
1.89938637398887,0.12468025606944,1,1
3.7643565143278,0.0326001148122017,1,1
3.74516775356527,0.055958420365071,0,1
2.83898647298163,0.420690482464041,0,0
1.24187272637566,0.275341444023176,0,0
1.28680453477601,0.347738356928069,0,0
2.37298625232049,0.426963992254552,0,1
1.34763888574821,0.505415757202173,0,0
4.28887975258022,0.0321655457827593,0,1
0.0227658666932027,0.468586225882822,0,0
2.89108638968342,0.227885922469888,0,1
1.6510248404361,0.165897334551441,0,1
0.989565295580354,0.494719082185384,0,0
0.699871325454003,0.0643956391961066,0,1
1.76794455824774,0.163458986342097,0,1
3.31782018024494,0.0542195824474637,1,0
3.93918452987499,0.149583618947083,0,1
2.28620230338048,0.341883142519086,0,0
0.376417832267655,0.382952111218562,0,0
0.626900614249556,0.585018399819117,0,0
-0.419314717198714,0.271204463516217,0,0
2.77794423008643,0.121011740482276,0,0
1.12847317662737,0.0147338556095699,0,1
0.696914662232512,0.535445859525426,0,0
0.491998585966149,0.232056032112645,0,0
3.2660037037995,0.0617914733551315,0,1
1.98422121418478,0.708575532752339,1,0
2.55064589913645,0.127212825133677,0,0
2.30791644789205,0.211638476622321,1,1
3.16785678440049,0.00593631028420199,0,1
0.447456021744006,0.198055877382423,0,1
2.44234427700257,0.236172704830143,0,0
1.25981612163406,0.052702375399055,0,1
0.60499181354844,0.425593345926083,0,0
1.82843930461796,0.374167183922629,0,1
2.1709560539371,0.491856252057909,0,1
2.17192762865243,0.225596825607647,0,1
3.29693714871238,0.136823748319319,0,1
2.50644478947944,0.0206055974625285,0,1
3.35841417143289,0.0443498205767496,0,1
1.43750341751692,0.327801325163604,0,0
1.0503450251719,0.14518910374277,0,0
1.80721108746923,0.0980205489050886,0,1
3.86923308620081,0.0154114390960068,0,1
2.43771264506449,0.264546123556941,0,0
3.60019056900528,0.084857987565304,0,1
1.46192792385971,0.428030319221253,0,0
0.496668941252895,0.248152865891296,0,0
0.547115205025614,0.592662779485477,0,0
0.710682311866842,0.282439422677436,0,0
1.37971249858606,0.401084978849229,1,0
2.75990935645395,0.0565787554932433,1,1
2.2471225411021,0.151451520952705,0,1
1.91623924031607,0.54070116028794,0,0
1.84323326098972,0.00983631528040248,0,1
0.209339208449295,0.0502801231442378,0,0
1.52826519442369,0.64921445903531,0,0
0.534741549860957,0.246635350221035,0,0
1.68833844415839,0.018875111742409,0,1
-0.172786054030259,0.265649361688201,1,0
0.567533400970412,0.581230122905321,0,0
3.76939010972127,0.0182262383800381,0,1
2.02531435727482,0.306097497744126,0,0
2.71810041403747,0.101935116563896,0,1
0.893485181084401,0.0691084234786856,0,0
4.57288113956367,0.0709698987584352,0,1
0.887981941706639,0.21891595494983,0,0
0.896431952382452,0.608282389358526,1,0
1.65658293264928,0.116895516802152,0,0
2.89664502644609,0.0524765789331626,0,1
1.77565186658368,0.141863298558561,0,1
1.23624668845123,0.338736839061078,0,0
3.42318346887518,0.346570493073508,1,1
2.57047240234478,0.109599748258118,0,1
0.986711936365815,0.226870290289156,0,0
2.10405647583603,0.0152303474710792,0,1
0.580266145859942,0.503272971867707,0,0
2.41075902688069,0.787775743195866,0,0
1.73965073945093,0.0850498665068734,0,1
1.11813451366408,0.176926694358623,0,0
1.83198071796863,0.254882788986676,0,1
1.23601983362295,0.6794580531647,0,0
1.00044478924076,0.41786500356274,0,0
2.35368322611999,0.285937219255807,0,0
0.716282076252839,0.0618556447260129,0,0
3.02910073434471,0.243641674720748,0,0
3.33849546458516,0.00111653232490809,0,1
2.43922769579566,0.0111872517100566,0,1
1.41287620074859,0.124919048268229,0,1
1.10565575098835,0.150592377786641,0,1
2.5397645927228,0.200369969583367,0,0
-1.1497928553101,0.215009505033487,0,0
